age,married,sex,race,hispanic,hhinc,away,employ,numinc,violent,injury,medtreat,medexp,robbery,assault,pweight,pstrat,ppsu
34,0,0,2,2,3,1,0,0,0,0,0,0,0,0,5104.87228,133,2
37,0,0,2,.,3,1,0,0,0,0,0,0,0,0,6465.66603,133,2
21,0,1,2,2,1,1,1,0,0,0,0,0,0,0,6659.08397,133,2
55,0,1,2,2,.,1,1,0,0,0,0,0,0,0,4033.95164,133,2
44,0,0,2,2,3,1,1,0,0,0,0,0,0,0,4886.32102,133,2
69,1,0,1,2,8,1,1,0,0,0,0,0,0,0,5800.60768,133,2
67,0,1,1,2,8,1,0,0,0,0,0,0,0,0,5105.41741,133,2
86,0,1,1,2,.,0,0,0,0,0,0,0,0,0,5606.16724,133,2
44,0,1,1,2,12,1,1,0,0,0,0,0,0,0,5903.1718,133,2
22,0,1,1,2,12,1,0,0,0,0,0,0,0,0,7251.85739,133,2
65,1,1,2,2,3,1,0,0,0,0,0,0,0,0,3415.06467,133,2
70,1,0,2,2,3,0,0,0,0,0,0,0,0,0,3802.73642,133,2
83,1,0,1,2,.,0,1,0,0,0,0,0,0,0,7039.28002,133,2
83,1,1,1,2,.,0,0,0,0,0,0,0,0,0,5655.79867,133,2
75,1,1,1,2,5,0,0,0,0,0,0,0,0,0,5655.79867,133,2
63,1,1,1,2,14,1,0,0,0,0,0,0,0,0,5319.89863,133,2
61,1,0,1,2,14,1,1,0,0,0,0,0,0,0,5484.68589,133,2
23,1,0,1,2,13,1,1,0,0,0,0,0,0,0,2804.71352,41,1
24,1,1,1,2,13,1,1,0,0,0,0,0,0,0,2522.85686,41,1
61,1,0,1,2,13,1,1,1,0,0,0,0,0,0,5536.70877,133,2
60,1,1,1,2,13,1,1,0,0,0,0,0,0,0,6270.86816,133,2
60,1,0,1,.,13,1,1,0,0,0,0,0,0,0,2020.26434,41,1
59,1,1,1,.,13,0,0,0,0,0,0,0,0,0,2152.25501,41,1
51,1,1,1,2,10,1,1,0,0,0,0,0,0,0,5763.445,133,2
53,1,0,1,2,10,1,1,0,0,0,0,0,0,0,5700.24462,133,2
68,1,0,1,2,12,1,0,0,0,0,0,0,0,0,1822.28289,41,1
61,1,1,1,2,12,0,0,0,0,0,0,0,0,0,1914.30178,41,1
54,1,1,1,2,.,1,1,0,0,0,0,0,0,0,5763.445,133,2
57,1,0,1,2,.,1,1,0,0,0,0,0,0,0,6227.27615,133,2
37,1,1,1,2,3,1,0,0,0,0,0,0,0,0,3207.05849,111,2
40,1,0,1,2,3,1,1,0,0,0,0,0,0,0,3581.56554,111,2
18,0,1,1,2,3,1,0,0,0,0,0,0,0,0,4882.6669,111,2
14,0,0,1,2,3,1,0,0,0,0,0,0,0,0,4004.41516,111,2
51,1,0,1,2,9,1,1,0,0,0,0,0,0,0,5700.24462,133,2
47,1,1,1,2,9,1,0,0,0,0,0,0,0,0,6148.42946,133,2
41,0,1,1,2,4,1,1,0,0,0,0,0,0,0,3202.04516,111,2
15,0,0,1,2,4,0,0,0,0,0,0,0,0,0,4004.41516,111,2
38,0,0,1,2,4,0,1,0,0,0,0,0,0,0,3968.56775,111,2
68,0,1,1,2,1,1,0,0,0,0,0,0,0,0,3258.09233,111,2
35,1,1,2,2,.,1,1,1,0,0,0,0,0,0,4657.80104,133,2
35,1,1,2,2,.,1,1,0,0,0,0,0,0,0,4657.80104,133,2
14,0,0,2,2,.,1,0,0,0,0,0,0,0,0,5386.74246,133,2
69,1,1,1,2,8,1,0,0,0,0,0,0,0,0,4750.26959,133,2
67,1,0,1,2,8,0,1,0,0,0,0,0,0,0,5290.21612,133,2
69,1,1,1,2,13,1,0,0,0,0,0,0,0,0,3093.34967,111,2
74,1,0,1,2,13,1,0,0,0,0,0,0,0,0,3009.97192,111,2
50,1,0,1,2,.,1,1,0,0,0,0,0,0,0,7308.0995,133,2
41,1,1,1,2,.,1,0,0,0,0,0,0,0,0,6265.20631,133,2
17,0,1,1,2,.,1,0,0,0,0,0,0,0,0,8005.95018,133,2
60,1,1,1,2,8,0,0,0,0,0,0,0,0,0,3494.53052,111,2
63,1,0,1,2,8,0,0,0,0,0,0,0,0,0,3398.75559,111,2
83,0,1,1,2,.,0,0,0,0,0,0,0,0,0,5188.54585,133,2
49,1,1,1,2,13,1,1,0,0,0,0,0,0,0,3057.36415,111,2
49,1,0,1,2,13,1,1,0,0,0,0,0,0,0,3481.34595,111,2
18,0,1,1,2,13,1,0,0,0,0,0,0,0,0,3637.65228,111,2
75,0,0,2,2,.,0,0,0,0,0,0,0,0,0,3802.73642,133,2
50,0,1,1,2,13,1,1,0,0,0,0,0,0,0,3275.52614,111,2
43,0,1,1,2,13,1,1,0,0,0,0,0,0,0,3481.26258,111,2
22,0,1,1,2,13,1,1,0,0,0,0,0,0,0,3717.59774,111,2
58,0,1,2,2,3,0,1,0,0,0,0,0,0,0,4321.75555,133,2
86,0,0,2,2,3,0,0,0,0,0,0,0,0,0,3802.73642,133,2
47,0,1,1,2,11,1,1,0,0,0,0,0,0,0,3371.95337,111,2
16,0,0,1,2,11,1,0,0,0,0,0,0,0,0,4339.40951,111,2
32,1,0,1,2,10,0,1,0,0,0,0,0,0,0,6444.27919,133,2
33,1,1,1,2,10,0,1,0,0,0,0,0,0,0,5565.48106,133,2
51,1,1,2,2,13,1,1,0,0,0,0,0,0,0,4522.572,111,2
17,0,0,2,2,13,1,0,0,0,0,0,0,0,0,4827.5716,111,2
51,1,0,2,2,13,1,1,0,0,0,0,0,0,0,5982.15495,111,2
67,1,0,1,2,12,0,1,0,0,0,0,0,0,0,5828.13222,133,2
61,1,1,1,2,12,1,0,0,0,0,0,0,0,0,5609.44256,133,2
49,1,1,2,2,5,0,1,0,0,0,0,0,0,0,3441.76915,111,2
53,0,0,1,2,7,1,1,0,0,0,0,0,0,0,2217.02973,41,2
52,0,1,1,2,8,1,1,0,0,0,0,0,0,0,3127.99693,111,2
22,0,1,1,2,4,1,1,0,0,0,0,0,0,0,2472.20383,41,2
44,0,1,1,2,7,1,1,0,0,0,0,0,0,0,3203.83092,111,2
34,0,0,1,2,12,1,1,1,1,1,1,0,0,1,3539.84774,111,2
39,0,1,2,2,8,1,1,0,0,0,0,0,0,0,2811.22529,41,1
23,0,1,1,2,6,1,1,0,0,0,0,0,0,0,3470.75842,111,2
53,1,0,2,2,10,0,1,1,0,0,0,0,0,0,2813.31749,41,1
42,1,1,2,2,10,0,0,0,0,0,0,0,0,0,2595.04944,41,1
58,0,1,2,2,6,0,1,0,0,0,0,0,0,0,1837.81069,41,1
78,0,1,2,2,6,0,0,0,0,0,0,0,0,0,2565.3215,41,1
35,1,0,1,2,6,1,1,0,0,0,0,0,0,0,3583.82599,111,2
23,1,1,1,2,6,1,0,1,0,0,0,0,0,0,3470.75842,111,2
30,0,1,1,2,6,1,1,1,0,0,0,0,0,0,3335.22603,111,2
79,0,1,1,2,5,1,1,0,0,0,0,0,0,0,3069.57399,111,2
42,1,1,1,2,14,1,0,0,0,0,0,0,0,0,2281.96696,41,2
38,1,0,1,2,14,1,1,0,0,0,0,0,0,0,2401.95748,41,2
12,0,1,1,2,14,1,0,0,0,0,0,0,0,0,2319.91664,41,2
74,0,0,1,2,12,1,1,0,0,0,0,0,0,0,3219.19343,111,2
53,1,0,1,2,14,1,1,0,0,0,0,0,0,0,2661.81843,41,2
52,1,1,1,2,14,1,0,0,0,0,0,0,0,0,2041.7516,41,2
67,0,1,1,2,6,0,0,0,0,0,0,0,0,0,2770.86534,111,2
35,1,0,1,2,14,1,1,0,0,0,0,0,0,0,2401.95748,41,2
66,0,1,1,2,7,0,0,0,0,0,0,0,0,0,2770.86534,111,2
35,1,0,1,2,14,0,1,0,0,0,0,0,0,0,2401.95748,41,2
39,1,1,1,2,14,1,1,0,0,0,0,0,0,0,2035.47145,41,2
35,1,1,1,2,13,1,0,0,0,0,0,0,0,0,3320.95945,111,2
44,1,0,1,2,13,1,1,0,0,0,0,0,0,0,3700.49642,111,2
41,0,1,1,2,.,0,1,0,0,0,0,0,0,0,2281.96696,41,2
46,1,0,1,2,14,1,1,0,0,0,0,0,0,0,3561.6654,111,2
47,1,1,1,2,14,1,0,0,0,0,0,0,0,0,3336.93971,111,2
57,1,1,1,2,12,1,1,0,0,0,0,0,0,0,2044.4135,41,2
59,1,0,1,2,12,0,0,0,0,0,0,0,0,0,2147.54869,41,2
39,1,1,1,2,13,1,0,0,0,0,0,0,0,0,3320.95945,111,2
13,0,1,1,2,13,1,0,0,0,0,0,0,0,0,3702.84529,111,2
38,1,0,1,2,13,1,1,0,0,0,0,0,0,0,3583.82599,111,2
81,1,1,1,2,11,0,0,0,0,0,0,0,0,0,1889.8165,41,2
77,1,0,1,2,11,1,0,0,0,0,0,0,0,0,2066.62332,41,2
75,1,1,1,2,13,1,1,0,0,0,0,0,0,0,3069.57399,111,2
73,1,0,1,2,13,1,0,0,0,0,0,0,0,0,3219.19343,111,2
21,0,0,1,2,13,1,1,1,1,0,0,0,0,0,3150.47449,41,2
19,0,0,1,2,13,1,1,0,0,0,0,0,0,0,2829.38016,41,2
46,0,0,1,2,13,1,1,0,0,0,0,0,0,0,2442.22179,41,2
72,1,1,1,2,6,1,0,0,0,0,0,0,0,0,1814.88978,41,2
72,1,0,1,2,6,1,0,0,0,0,0,0,0,0,2014.38169,41,2
90,0,1,2,2,.,0,0,0,0,0,0,0,0,0,4520.21126,133,2
45,0,0,2,2,11,1,1,0,0,0,0,0,0,0,5192.1982,133,2
25,0,1,2,2,11,1,1,0,0,0,0,0,0,0,6429.11866,133,2
65,1,0,1,2,.,0,1,0,0,0,0,0,0,0,5596.85837,133,2
66,1,1,1,2,.,0,0,0,0,0,0,0,0,0,5706.3901,133,2
59,1,1,1,2,9,0,0,0,0,0,0,0,0,0,5909.10259,133,2
29,0,1,1,2,9,1,1,0,0,0,0,0,0,0,6167.08286,133,2
55,1,0,1,2,9,1,1,0,0,0,0,0,0,0,6236.68696,133,2
43,1,0,1,2,11,1,1,0,0,0,0,0,0,0,5903.1718,133,2
46,1,0,1,2,11,1,1,0,0,0,0,0,0,0,6562.49449,133,2
18,0,1,1,2,11,1,0,0,0,0,0,0,0,0,8531.23087,133,2
13,0,0,1,2,11,1,0,0,0,0,0,0,0,0,5978.03534,133,2
59,0,1,2,2,7,1,1,0,0,0,0,0,0,0,2230.94247,41,2
55,1,1,2,2,12,0,0,0,0,0,0,0,0,0,2205.69504,41,2
61,1,0,2,2,12,1,1,0,0,0,0,0,0,0,2162.36218,41,2
38,0,0,2,2,12,0,0,0,0,0,0,0,0,0,2740.45726,41,2
27,0,1,2,.,12,1,1,0,0,0,0,0,0,0,2823.42445,41,2
54,0,0,1,2,3,0,1,0,0,0,0,0,0,0,5700.24462,133,2
90,0,1,1,2,3,0,0,0,0,0,0,0,0,0,6216.64497,133,2
43,0,1,2,2,2,0,0,0,0,0,0,0,0,0,2950.39939,41,2
83,0,1,2,2,.,0,0,0,0,0,0,0,0,0,1993.04317,41,2
88,1,0,1,2,11,1,0,0,0,0,0,0,0,0,6973.13899,133,2
83,1,1,1,2,11,1,0,0,0,0,0,0,0,0,5602.65683,133,2
31,1,1,1,2,.,0,0,0,0,0,0,0,0,0,2003.70219,41,1
34,0,1,1,2,14,1,1,1,0,0,0,0,0,0,2003.70219,41,1
56,0,0,1,2,14,1,0,0,0,0,0,0,0,0,6168.76471,133,2
45,0,1,1,2,14,1,1,0,0,0,0,0,0,0,6377.31256,133,2
50,0,0,1,2,13,0,1,0,0,0,0,0,0,0,2277.68231,41,1
73,0,0,1,2,9,1,0,0,0,0,0,0,0,0,2044.64686,41,1
38,0,1,1,2,10,1,1,0,0,0,0,0,0,0,2311.68767,41,1
12,0,1,1,2,10,1,0,0,0,0,0,0,0,0,2313.84355,41,1
45,0,1,1,2,10,0,1,0,0,0,0,0,0,0,2076.83997,41,1
79,1,0,2,2,5,1,0,0,0,0,0,0,0,0,2091.83652,41,1
73,1,1,2,2,5,0,0,0,0,0,0,0,0,0,1934.20119,41,1
47,0,1,2,2,3,0,0,0,0,0,0,0,0,0,2827.22291,41,1
16,0,1,2,2,3,1,1,0,0,0,0,0,0,0,3591.37102,41,1
37,0,0,2,2,8,0,1,3,2,1,1,0,0,1,2464.17874,41,1
27,0,0,1,2,10,0,1,0,0,0,0,0,0,0,2369.89317,41,2
39,0,1,2,2,.,1,1,0,0,0,0,0,0,0,3138.69466,41,1
18,0,0,2,2,.,1,0,0,0,0,0,0,0,0,3851.65313,41,1
28,1,0,1,2,.,0,1,0,0,0,0,0,0,0,2369.89317,41,2
27,1,1,1,2,.,1,1,0,0,0,0,0,0,0,2207.83187,41,2
33,1,1,2,2,11,1,1,0,0,0,0,0,0,0,2119.4974,41,1
36,1,0,2,2,11,1,1,0,0,0,0,0,0,0,2464.17874,41,1
76,1,0,1,2,.,1,0,0,0,0,0,0,0,0,2275.43502,41,2
74,1,1,1,2,.,1,0,0,0,0,0,0,0,0,1941.04701,41,2
46,1,0,2,2,13,1,1,1,0,0,0,0,0,0,3648.86239,41,2
46,1,1,2,2,13,1,1,0,0,0,0,0,0,0,2827.22291,41,2
60,1,0,2,2,12,1,1,0,0,0,0,0,0,0,1949.14599,41,2
60,1,1,2,2,12,1,1,0,0,0,0,0,0,0,2453.74243,41,2
23,0,0,2,2,13,1,1,0,0,0,0,0,0,0,4403.29641,41,2
28,0,0,2,2,13,1,1,0,0,0,0,0,0,0,3980.70407,41,2
59,1,1,2,2,13,1,1,0,0,0,0,0,0,0,2277.2778,41,2
61,1,0,2,2,13,0,1,0,0,0,0,0,0,0,1949.14599,41,2
44,1,0,1,2,13,1,1,0,0,0,0,0,0,0,3436.98678,111,2
39,1,1,1,2,13,1,1,0,0,0,0,0,0,0,3077.59763,111,2
12,0,1,1,2,13,1,0,0,0,0,0,0,0,0,3871.8751,111,2
63,1,0,2,2,13,1,1,0,0,0,0,0,0,0,1949.14599,41,2
60,1,1,2,2,13,1,1,0,0,0,0,0,0,0,2453.74243,41,2
42,0,0,1,2,8,1,1,0,0,0,0,0,0,0,4840.56162,111,2
72,0,1,1,2,8,1,0,0,0,0,0,0,0,0,3746.183,111,2
66,1,1,2,2,6,1,1,0,0,0,0,0,0,0,1792.822,41,2
68,1,0,2,2,6,1,0,0,0,0,0,0,0,0,2227.56215,41,2
56,1,1,1,2,8,1,1,0,0,0,0,0,0,0,3985.94001,111,2
72,1,0,1,2,8,1,0,0,0,0,0,0,0,0,3959.41356,111,2
55,1,0,2,2,13,1,1,0,0,0,0,0,0,0,2502.00049,41,2
53,1,1,2,2,13,0,0,0,0,0,0,0,0,0,2564.40506,41,2
39,1,0,1,2,13,1,1,0,0,0,0,0,0,0,4715.3376,111,2
37,1,1,1,2,13,1,1,0,0,0,0,0,0,0,4064.03839,111,2
69,0,1,2,2,9,1,0,0,0,0,0,0,0,0,2050.14163,41,2
76,0,0,2,2,9,0,0,0,0,0,0,0,0,0,2227.56215,41,2
58,1,1,1,2,12,1,1,0,0,0,0,0,0,0,3985.94001,111,2
58,1,0,1,2,12,1,0,0,0,0,0,0,0,0,4282.37998,111,2
64,1,0,1,2,12,1,0,0,0,0,0,0,0,0,3576.27816,111,2
64,1,1,1,2,12,1,0,0,0,0,0,0,0,0,2857.66545,111,2
29,0,1,1,2,8,0,0,0,0,0,0,0,0,0,2118.32629,41,1
29,0,0,1,2,8,0,1,0,0,0,0,0,0,0,2728.15959,41,1
67,1,0,1,2,14,0,1,0,0,0,0,0,0,0,2857.00501,111,2
62,1,0,1,2,14,1,1,0,0,0,0,0,0,0,3576.27816,111,2
37,1,1,1,2,13,1,1,0,0,0,0,0,0,0,2405.32235,41,1
41,1,0,1,2,13,1,1,0,0,0,0,0,0,0,2500.08876,41,1
21,0,0,1,2,14,1,1,0,0,0,0,0,0,0,4671.31956,111,2
50,1,0,1,2,14,1,1,0,0,0,0,0,0,0,3946.77201,111,2
45,1,1,1,2,14,1,1,0,0,0,0,0,0,0,3450.76468,111,2
56,0,0,2,2,12,1,1,1,0,0,0,0,0,0,2449.69806,41,1
59,0,0,2,2,10,1,0,0,0,0,0,0,0,0,2449.69806,41,1
59,0,0,1,2,2,0,1,0,0,0,0,0,0,0,4204.87019,111,2
19,0,1,2,2,6,1,1,1,1,1,0,0,0,1,4586.43419,41,1
43,0,1,1,2,6,1,1,0,0,0,0,0,0,0,2284.62824,41,1
21,0,1,1,2,3,1,1,0,0,0,0,0,0,0,5127.4574,111,2
64,0,1,1,2,2,0,0,0,0,0,0,0,0,0,3773.61289,111,2
30,0,1,1,2,14,1,0,0,0,0,0,0,0,0,2270.83226,41,2
59,1,0,1,2,14,1,1,0,0,0,0,0,0,0,2301.13488,41,2
57,1,1,1,2,14,1,1,0,0,0,0,0,0,0,2099.89523,41,2
44,0,1,1,2,1,0,0,0,0,0,0,0,0,0,4468.05928,111,2
60,1,0,1,2,10,0,0,0,0,0,0,0,0,0,2045.95289,41,2
57,1,1,1,2,10,1,1,0,0,0,0,0,0,0,2099.89523,41,2
57,1,0,1,2,14,1,0,0,0,0,0,0,0,0,4204.87019,111,2
57,1,1,1,2,14,1,1,0,0,0,0,0,0,0,4002.93293,111,2
50,1,0,1,2,13,0,1,0,0,0,0,0,0,0,2106.3835,41,2
52,1,1,1,2,13,1,1,0,0,0,0,0,0,0,2129.73762,41,2
86,0,0,1,2,14,0,0,0,0,0,0,0,0,0,4046.41946,111,2
38,1,1,1,2,12,1,1,0,0,0,0,0,0,0,3413.13765,111,2
16,0,1,1,2,12,1,1,0,0,0,0,0,0,0,4371.66734,111,2
15,0,1,1,2,12,1,0,0,0,0,0,0,0,0,3710.13564,111,2
41,1,0,1,2,12,1,1,0,0,0,0,0,0,0,3567.48288,111,2
41,1,1,1,2,12,1,1,0,0,0,0,0,0,0,3394.50858,111,2
13,0,1,1,2,12,1,0,0,0,0,0,0,0,0,3527.04238,111,2
40,1,0,1,2,12,1,1,0,0,0,0,0,0,0,3567.48288,111,2
80,0,1,1,2,11,0,0,0,0,0,0,0,0,0,3700.23417,111,2
69,1,1,1,2,6,1,0,0,0,0,0,0,0,0,3093.34967,111,2
77,1,0,1,2,6,1,0,0,0,0,0,0,0,0,3317.19499,111,2
64,1,0,1,2,4,0,0,0,0,0,0,0,0,0,3081.80069,111,2
62,1,1,1,2,4,0,1,0,0,0,0,0,0,0,2815.4138,111,2
25,0,0,1,2,4,0,0,0,0,0,0,0,0,0,3638.90015,111,2
69,0,1,1,2,3,0,0,0,0,0,0,0,0,0,3093.34967,111,2
47,1,1,1,2,10,1,1,0,0,0,0,0,0,0,3023.27163,111,2
51,1,0,1,2,10,1,0,0,0,0,0,0,0,0,3377.19984,111,2
49,0,0,1,2,6,1,1,0,0,0,0,0,0,0,3481.34595,111,2
50,1,0,1,2,13,0,1,0,0,0,0,0,0,0,3377.19984,111,2
41,1,0,1,2,13,1,1,0,0,0,0,0,0,0,3220.51604,111,2
48,1,0,1,1,13,1,1,0,0,0,0,0,0,0,3385.66411,111,2
40,1,1,1,2,13,1,1,0,0,0,0,0,0,0,3220.51604,111,2
18,0,1,1,2,13,1,0,0,0,0,0,0,0,0,4370.47444,111,2
15,0,0,1,2,13,1,0,0,0,0,0,0,0,0,4121.39941,111,2
42,0,1,1,2,11,1,1,0,0,0,0,0,0,0,3220.51604,111,2
44,0,1,2,2,2,1,1,0,0,0,0,0,0,0,4812.78703,111,2
18,0,0,2,2,2,1,0,0,0,0,0,0,0,0,7789.20021,111,2
31,1,1,1,2,11,0,0,0,0,0,0,0,0,0,2970.95986,111,2
31,1,0,3,2,11,0,1,0,0,0,0,0,0,0,3440.07905,111,2
75,0,1,1,2,4,0,0,0,0,0,0,0,0,0,3029.27478,111,2
63,0,0,1,2,5,1,1,0,0,0,0,0,0,0,3081.80069,111,2
26,0,0,1,2,9,1,1,0,0,0,0,0,0,0,3575.192,111,2
52,1,1,1,2,12,1,0,0,0,0,0,0,0,0,2884.89057,111,2
55,1,0,1,2,12,1,1,0,0,0,0,0,0,0,3453.44032,111,2
27,1,1,1,2,10,1,0,1,0,0,0,0,0,0,3307.70125,111,2
30,1,0,1,2,10,1,1,0,0,0,0,0,0,0,3440.07905,111,2
33,1,1,1,2,11,0,0,0,0,0,0,0,0,0,3080.01467,111,2
36,1,0,1,2,11,1,1,0,0,0,0,0,0,0,3646.05778,111,2
22,0,0,1,2,8,1,1,0,0,0,0,0,0,0,5276.8122,111,2
27,1,0,1,2,8,1,1,0,0,0,0,0,0,0,3638.90015,111,2
26,1,1,1,2,8,1,0,0,0,0,0,0,0,0,3650.04283,111,2
30,0,1,1,2,8,1,1,0,0,0,0,0,0,0,2970.95986,111,2
49,1,0,1,2,12,1,1,0,0,0,0,0,0,0,3687.40593,111,2
47,1,1,1,2,12,1,0,0,0,0,0,0,0,0,3371.95337,111,2
30,1,0,1,2,10,1,1,0,0,0,0,0,0,0,3440.07905,111,2
28,1,1,1,2,10,1,1,0,0,0,0,0,0,0,3307.70125,111,2
63,1,1,1,2,14,0,1,0,0,0,0,0,0,0,3717.81862,111,2
63,1,0,1,2,14,0,1,0,0,0,0,0,0,0,4069.58863,111,2
28,1,1,1,2,13,1,1,1,0,0,0,0,0,0,1637.82104,130,1
27,1,0,1,2,13,1,1,0,0,0,0,0,0,0,1758.04189,130,1
54,1,0,1,2,13,1,1,0,0,0,0,0,0,0,4459.66999,111,2
14,0,0,1,2,13,1,0,0,0,0,0,0,0,0,5442.40263,111,2
60,0,1,1,2,13,0,0,0,0,0,0,0,0,0,4057.86929,111,2
38,1,1,1,2,13,1,1,0,0,0,0,0,0,0,4526.25201,111,2
48,1,1,1,2,14,1,1,0,0,0,0,0,0,0,3992.29966,111,2
46,1,0,1,2,14,1,1,0,0,0,0,0,0,0,4470.84726,111,2
41,1,1,1,2,11,0,0,0,0,0,0,0,0,0,1710.53997,130,1
15,0,1,1,2,11,1,0,0,0,0,0,0,0,0,1869.58882,130,1
46,1,0,1,2,11,0,1,0,0,0,0,0,0,0,1754.29852,130,1
61,0,0,1,2,13,1,1,0,0,0,0,0,0,0,3876.82881,111,2
55,1,0,1,2,12,1,1,0,0,0,0,0,0,0,1541.33553,130,1
50,1,1,1,2,12,1,1,0,0,0,0,0,0,0,1502.2117,130,1
29,0,0,1,2,12,1,1,0,0,0,0,0,0,0,1970.33394,130,1
21,0,1,1,2,12,1,1,0,0,0,0,0,0,0,2252.1001,130,1
46,0,1,1,2,8,1,0,0,0,0,0,0,0,0,1523.46852,130,1
34,1,1,1,2,13,1,1,0,0,0,0,0,0,0,1491.21486,130,1
38,1,0,1,2,13,1,1,0,0,0,0,0,0,0,1885.07144,130,1
75,1,0,1,2,5,1,0,0,0,0,0,0,0,0,1401.64975,130,1
68,1,1,1,2,5,1,0,0,0,0,0,0,0,0,1429.77165,130,1
38,1,0,1,2,12,1,1,0,0,0,0,0,0,0,1806.3111,130,1
36,1,1,1,2,12,1,1,0,0,0,0,0,0,0,1727.22566,130,1
19,0,0,1,2,12,1,1,0,0,0,0,0,0,0,2289.72988,130,1
32,1,1,2,2,13,1,1,0,0,0,0,0,0,0,1993.77918,130,1
31,1,0,2,2,13,1,1,0,0,0,0,0,0,0,3076.15297,130,1
24,0,1,1,2,6,1,1,0,0,0,0,0,0,0,1655.82179,130,1
36,1,1,1,2,10,1,0,0,0,0,0,0,0,0,1727.22566,130,1
41,1,0,1,2,10,1,1,0,0,0,0,0,0,0,1913.6263,130,1
32,0,1,1,2,8,1,1,0,0,0,0,0,0,0,1555.65403,130,1
36,1,1,1,2,10,1,1,0,0,0,0,0,0,0,5373.22396,122,1
47,1,0,1,2,10,1,1,0,0,0,0,0,0,0,5631.76769,122,1
40,0,0,1,2,2,0,1,0,0,0,0,0,0,0,1854.62401,130,1
22,1,1,1,2,10,1,1,0,0,0,0,0,0,0,6177.41504,122,1
31,1,0,1,2,10,1,1,0,0,0,0,0,0,0,6232.74157,122,1
67,1,0,1,2,10,1,1,0,0,0,0,0,0,0,5445.35174,122,1
65,1,1,1,2,10,1,0,0,0,0,0,0,0,0,5299.78329,122,1
72,1,1,1,2,8,1,0,0,0,0,0,0,0,0,4848.10161,122,1
73,1,0,1,2,8,1,1,0,0,0,0,0,0,0,5156.9336,122,1
42,0,0,2,2,8,1,1,0,0,0,0,0,0,0,6792.08956,122,1
45,0,0,2,2,8,1,1,0,0,0,0,0,0,0,6874.6725,122,1
30,0,0,2,2,8,1,1,0,0,0,0,0,0,0,5846.60376,122,1
59,1,0,1,2,10,1,1,0,0,0,0,0,0,0,5661.90191,122,1
48,1,1,1,2,10,1,1,0,0,0,0,0,0,0,5118.77208,122,1
